"","NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Note","Strain","Rank","Parent_name","Parent_NCBI_ID","Parent_rank","Attribute_type","Attribute_group","Score"
"1","291967",NA,"","Acaricomes","aerobic",TRUE,"Bergey's Manual","exp","always","high",NA,NA,"genus","Micrococcaceae","1268","family","categorical","aerophilicity",1
"2","291968",NA,"","Acaricomes phytoseiuli","aerobic",TRUE,"https://github.com/bacteria-archaea-traits/bacteria-archaea-traits/tree/master/output/prepared_data","unknown","always","medium",NA,NA,"species","Acaricomes","291967","genus","categorical","aerophilicity",1
"3","329726",NA,"NC_009925, NC_009926, NC_009927, NC_009928, NC_009929, NC_009930, NC_009931, NC_009932, NC_009933, NC_009934","Acaryochloris marina MBIC11017","aerobic",TRUE,"BacMap","unknown","always","high",NA,NA,"strain","Acaryochloris marina","155978","species","categorical","aerophilicity",1
"4","435",NA,"","Acetobacter aceti","aerobic",TRUE,"https://github.com/bacteria-archaea-traits/bacteria-archaea-traits/tree/master/output/prepared_data","unknown","always","medium",NA,NA,"species","Acetobacter","434","genus","categorical","aerophilicity",1
"5","435",NA,"","Acetobacter aceti aceti","aerobic",TRUE,"https://github.com/bacteria-archaea-traits/bacteria-archaea-traits/tree/master/output/prepared_data","unknown","always","medium",NA,NA,"species","Acetobacter","434","genus","categorical","aerophilicity",1
"6","178900",NA,"","Acetobacter cerevisiae","aerobic",TRUE,"https://github.com/bacteria-archaea-traits/bacteria-archaea-traits/tree/master/output/prepared_data","unknown","always","medium",NA,NA,"species","Acetobacter","434","genus","categorical","aerophilicity",1
"7","146475",NA,"","Acetobacter cibinongensis","aerobic",TRUE,"https://github.com/bacteria-archaea-traits/bacteria-archaea-traits/tree/master/output/prepared_data","unknown","always","medium",NA,NA,"species","Acetobacter","434","genus","categorical","aerophilicity",1
"8","178901",NA,"","Acetobacter malorum","aerobic",TRUE,"https://github.com/bacteria-archaea-traits/bacteria-archaea-traits/tree/master/output/prepared_data","unknown","always","medium",NA,NA,"species","Acetobacter","434","genus","categorical","aerophilicity",1
"9","304077",NA,"","Acetobacter oeni","aerobic",TRUE,"https://github.com/bacteria-archaea-traits/bacteria-archaea-traits/tree/master/output/prepared_data","unknown","always","medium",NA,NA,"species","Acetobacter","434","genus","categorical","aerophilicity",1
"10","146474",NA,"","Acetobacter orientalis","aerobic",TRUE,"https://github.com/bacteria-archaea-traits/bacteria-archaea-traits/tree/master/output/prepared_data","unknown","always","medium",NA,NA,"species","Acetobacter","434","genus","categorical","aerophilicity",1
